Country/Region,Province/State,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
China,Hubei,2020-03-11T10:53:02,67773,3046,49134,30.9756,112.2707
Italy,Italy,2020-03-11T21:33:02,12462,827,1045,43.0000,12.0000
Iran,Iran,2020-03-11T18:52:03,9000,354,2959,32.0000,53.0000
"Korea, South","Korea, South",2020-03-11T21:13:18,7755,60,288,36.0000,128.0000
France,France,2020-03-11T22:53:03,2281,48,12,46.2276,2.2137
Spain,Spain,2020-03-11T20:53:02,2277,54,183,40.0000,-4.0000
Germany,Germany,2020-03-11T19:13:17,1908,3,25,51.0000,9.0000
China,Guangdong,2020-03-11T10:13:06,1356,8,1282,23.3417,113.4244
China,Henan,2020-03-11T08:13:09,1273,22,1249,33.8820,113.6140
China,Zhejiang,2020-03-11T09:33:12,1215,1,1195,29.1832,120.0934
China,Hunan,2020-03-11T02:18:14,1018,4,995,27.6104,111.7088
China,Anhui,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
China,Jiangxi,2020-03-11T02:18:14,935,1,932,27.6140,115.7221
China,Shandong,2020-03-11T11:33:07,760,6,726,36.3427,118.1498
Cruise Ship,Diamond Princess,2020-03-11T22:13:12,696,7,325,35.4437,139.6380
Switzerland,Switzerland,2020-03-11T20:53:02,652,4,4,46.8182,8.2275
Japan,Japan,2020-03-11T21:33:03,639,15,118,36.0000,138.0000
China,Jiangsu,2020-03-11T02:18:14,631,0,627,32.9711,119.4550
Norway,Norway,2020-03-11T19:33:02,598,0,1,60.4720,8.4689
China,Chongqing,2020-03-11T23:13:05,576,6,554,30.0572,107.8740
China,Sichuan,2020-03-11T14:33:03,539,3,488,30.6171,102.7103
Netherlands,Netherlands,2020-03-11T14:13:11,503,5,0,52.1326,5.2913
Sweden,Sweden,2020-03-11T19:33:02,500,1,1,63.0000,16.0000
China,Heilongjiang,2020-03-11T11:33:07,482,13,436,47.8620,127.7615
United Kingdom,UK,2020-03-11T21:33:03,456,8,18,55.3781,-3.4360
Denmark,Denmark,2020-03-11T22:13:13,442,0,1,56.2639,9.5018
China,Beijing,2020-03-11T02:18:14,435,8,326,40.1824,116.4142
US,Washington,2020-03-11T22:33:03,366,29,1,47.4009,-121.4905
China,Shanghai,2020-03-11T03:13:07,344,3,320,31.2020,121.4491
China,Hebei,2020-03-11T02:18:14,318,6,307,39.5490,116.1306
Belgium,Belgium,2020-03-11T18:52:03,314,3,1,50.8333,4.0000
China,Fujian,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
Qatar,Qatar,2020-03-11T18:52:03,262,0,0,25.3548,51.1839
China,Guangxi,2020-03-11T11:33:07,252,2,238,23.8298,108.7881
Austria,Austria,2020-03-11T22:33:03,246,0,4,47.5162,14.5501
China,Shaanxi,2020-03-11T09:33:12,245,1,232,35.1917,108.8701
US,New York,2020-03-11T22:53:03,220,0,0,42.1657,-74.9481
Bahrain,Bahrain,2020-03-11T22:33:03,195,0,35,26.0275,50.5500
Singapore,Singapore,2020-03-11T13:53:24,178,0,96,1.2833,103.8333
US,California,2020-03-11T23:53:03,177,3,2,36.1162,-119.6816
China,Yunnan,2020-03-11T02:18:14,174,2,170,24.9740,101.4870
China,Hainan,2020-03-11T02:18:14,168,6,159,19.1959,109.7453
Malaysia,Malaysia,2020-03-11T11:33:08,149,0,26,2.5000,112.5000
China,Guizhou,2020-03-11T02:33:03,146,2,133,26.8154,106.8748
China,Tianjin,2020-03-11T02:18:14,136,3,131,39.3054,117.3230
China,Shanxi,2020-03-11T02:18:14,133,0,131,37.5777,112.2922
China,Gansu,2020-03-11T14:33:03,127,2,88,37.8099,101.0583
China,Hong Kong,2020-03-11T18:52:03,126,3,65,22.3000,114.2000
China,Liaoning,2020-03-11T02:18:14,125,1,111,41.2956,122.6085
Israel,Israel,2020-03-11T21:13:18,109,0,4,31.0000,35.0000
Greece,Greece,2020-03-11T23:53:02,99,1,0,39.0742,21.8243
US,Massachusetts,2020-03-11T22:53:03,95,0,1,42.2302,-71.5301
China,Jilin,2020-03-11T02:18:14,93,1,91,43.6661,126.1923
Czechia,Czechia,2020-03-11T22:13:12,91,0,0,49.8175,15.4730
Iceland,Iceland,2020-03-11T13:53:24,85,0,1,64.9631,-19.0208
China,Xinjiang,2020-03-11T02:18:14,76,3,73,41.1129,85.2401
China,Inner Mongolia,2020-03-11T03:53:03,75,1,71,44.0935,113.9448
China,Ningxia,2020-03-11T09:33:12,75,0,72,37.2692,106.1655
United Arab Emirates,United Arab Emirates,2020-03-11T20:53:02,74,0,17,23.4241,53.8478
Kuwait,Kuwait,2020-03-11T09:53:03,72,0,2,29.5000,47.7500
Iraq,Iraq,2020-03-11T22:13:12,71,7,15,33.0000,44.0000
Australia,New South Wales,2020-03-11T18:52:04,65,2,4,-33.8688,151.2093
India,India,2020-03-11T22:13:12,62,1,4,21.0000,78.0000
San Marino,San Marino,2020-03-11T20:53:02,62,2,0,43.9424,12.4578
Lebanon,Lebanon,2020-03-11T11:53:03,61,3,1,33.8547,35.8623
Egypt,Egypt,2020-03-11T22:13:12,60,1,27,26.0000,30.0000
Finland,Finland,2020-03-11T13:33:10,59,0,1,64.0000,26.0000
Portugal,Portugal,2020-03-11T13:33:11,59,0,0,39.3999,-8.2245
Thailand,Thailand,2020-03-11T09:13:10,59,1,34,15.8700,100.9925
Slovenia,Slovenia,2020-03-11T14:13:11,57,0,0,46.1512,14.9955
Philippines,Philippines,2020-03-11T10:53:03,49,1,2,12.8797,121.7740
Taiwan*,Taiwan*,2020-03-11T20:13:14,48,1,17,23.7000,121.0000
US,Diamond Princess,2020-03-10T02:33:04,46,0,0,35.4437,139.6380
Romania,Romania,2020-03-11T21:13:18,45,0,6,46.0000,25.0000
Ireland,Ireland,2020-03-11T21:33:03,43,1,0,53.1424,-7.6921
Canada,Ontario,2020-03-11T18:52:04,41,0,4,51.2538,-85.3232
Canada,British Columbia,2020-03-11T02:18:28,39,1,4,53.7267,-127.6476
Brazil,Brazil,2020-03-11T22:13:12,38,0,0,-14.2350,-51.9253
Vietnam,Vietnam,2020-03-11T20:53:02,38,0,16,16.0000,108.0000
Indonesia,Indonesia,2020-03-11T11:14:26,34,1,2,-0.7893,113.9213
US,Colorado,2020-03-11T22:53:03,34,0,0,39.0598,-105.3111
Poland,Poland,2020-03-11T21:13:21,31,0,0,51.9194,19.1451
US,Florida,2020-03-11T03:33:05,28,2,0,27.7663,-81.6868
US,Illinois,2020-03-11T22:53:03,25,0,2,40.3495,-88.9861
Georgia,Georgia,2020-03-11T22:13:12,24,0,0,42.3154,43.3569
Chile,Chile,2020-03-11T22:13:12,23,0,0,-35.6751,-71.5430
US,Georgia,2020-03-11T18:52:03,23,0,0,33.0406,-83.6431
US,New Jersey,2020-03-11T18:52:04,23,1,0,40.2989,-74.5210
Australia,Victoria,2020-03-11T18:52:04,21,0,7,-37.8136,144.9631
Saudi Arabia,Saudi Arabia,2020-03-11T13:33:11,21,0,1,24.0000,45.0000
US,Grand Princess,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655
US,Texas,2020-03-11T22:53:03,21,0,0,31.0545,-97.5635
Algeria,Algeria,2020-03-09T10:13:06,20,0,0,28.0339,1.6596
Australia,Queensland,2020-03-11T18:52:04,20,0,8,-28.0167,153.4000
Russia,Russia,2020-03-11T18:52:03,20,0,3,60.0000,90.0000
Argentina,Argentina,2020-03-11T02:18:16,19,1,0,-38.4161,-63.6167
Canada,Alberta,2020-03-11T23:13:07,19,0,0,53.9333,-116.5765
Croatia,Croatia,2020-03-11T22:13:12,19,0,0,45.1667,15.5000
Pakistan,Pakistan,2020-03-11T21:13:23,19,0,2,30.3753,69.3451
US,Oregon,2020-03-11T22:53:03,19,0,0,44.5720,-122.0709
China,Qinghai,2020-03-11T02:18:14,18,0,18,35.7452,95.9956
Oman,Oman,2020-03-10T08:33:02,18,0,9,21.0000,57.0000
Ecuador,Ecuador,2020-03-11T09:33:12,17,0,0,-1.8312,-78.1834
Estonia,Estonia,2020-03-11T22:13:12,16,0,0,58.5953,25.0136
US,Pennsylvania,2020-03-11T22:53:03,16,0,0,40.5908,-77.2098
Costa Rica,Costa Rica,2020-03-11T09:33:12,13,0,0,9.7489,-83.7534
Hungary,Hungary,2020-03-11T22:13:12,13,0,0,47.1625,19.5033
South Africa,South Africa,2020-03-11T10:33:03,13,0,0,-30.5595,22.9375
US,Iowa,2020-03-11T02:53:03,13,0,0,42.0115,-93.2105
Albania,Albania,2020-03-11T13:33:11,12,1,0,41.1533,20.1683
Serbia,Serbia,2020-03-11T09:53:03,12,0,0,44.0165,21.0059
