Country/Region,Province/State,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
Mainland China,Hubei,2020-03-04T12:53:03,67332,2871,38557,30.9756,112.2707
South Korea,South Korea,2020-03-04T19:23:03,5621,35,41,36.0000,128.0000
Italy,Italy,2020-03-04T19:23:03,3089,107,276,43.0000,12.0000
Iran,Iran,2020-03-04T12:33:03,2922,92,552,32.0000,53.0000
Mainland China,Guangdong,2020-03-04T10:03:19,1350,7,1133,23.3417,113.4244
Mainland China,Henan,2020-03-04T00:33:05,1272,22,1234,33.8820,113.6140
Mainland China,Zhejiang,2020-03-04T10:03:19,1213,1,1114,29.1832,120.0934
Mainland China,Hunan,2020-03-04T15:43:02,1018,4,916,27.6104,111.7088
Mainland China,Anhui,2020-03-04T10:03:19,990,6,956,31.8257,117.2264
Mainland China,Jiangxi,2020-03-04T01:33:07,935,1,884,27.6140,115.7221
Mainland China,Shandong,2020-03-04T12:53:03,758,6,516,36.3427,118.1498
Others,Diamond Princess cruise ship,2020-03-03T03:13:06,706,6,10,35.4437,139.6380
Mainland China,Jiangsu,2020-03-04T12:53:03,631,0,577,32.9711,119.4550
Mainland China,Chongqing,2020-03-04T23:23:01,576,6,502,30.0572,107.8740
Mainland China,Sichuan,2020-03-04T12:53:03,538,3,406,30.6171,102.7103
Mainland China,Heilongjiang,2020-03-04T12:53:03,480,13,373,47.8620,127.7615
Mainland China,Beijing,2020-03-04T23:23:01,418,8,297,40.1824,116.4142
Mainland China,Shanghai,2020-03-04T04:13:08,338,3,298,31.2020,121.4491
Japan,Japan,2020-03-04T19:23:03,331,6,43,36.0000,138.0000
Mainland China,Hebei,2020-03-04T10:03:19,318,6,301,38.0428,114.5149
Mainland China,Fujian,2020-03-04T12:53:03,296,1,270,26.0789,117.9874
France,France,2020-03-04T20:43:02,285,4,12,47.0000,2.0000
Germany,Germany,2020-03-04T19:33:03,262,0,16,51.0000,9.0000
Mainland China,Guangxi,2020-03-04T00:13:08,252,2,210,23.8298,108.7881
