Country/Region,Province/State,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
China,Hubei,2020-03-17T11:53:10,67799,3111,56003,30.9756,112.2707
Italy,Italy,2020-03-17T18:33:02,31506,2503,2941,41.8719,12.5674
Iran,Iran,2020-03-17T15:13:09,16169,988,5389,32.4279,53.6880
Spain,Spain,2020-03-17T20:53:02,11748,533,1028,40.4637,-3.7492
Germany,Germany,2020-03-17T18:53:02,9257,24,67,51.1657,10.4515
"Korea, South","Korea, South",2020-03-17T10:33:03,8320,81,1407,35.9078,127.7669
France,France,2020-03-17T19:13:08,7652,148,12,46.2276,2.2137
Switzerland,Switzerland,2020-03-17T16:33:04,2700,27,4,46.8182,8.2275
United Kingdom,United Kingdom,2020-03-17T15:13:09,1950,55,52,55.3781,-3.4360
US,New York,2020-03-17T22:53:03,1706,13,0,42.1657,-74.9481
Netherlands,Netherlands,2020-03-17T15:13:11,1705,43,2,52.1326,5.2913
Norway,Norway,2020-03-17T19:53:02,1463,3,1,60.4720,8.4689
China,Guangdong,2020-03-17T01:53:03,1364,8,1307,23.3417,113.4244
Austria,Austria,2020-03-17T15:33:06,1332,3,1,47.5162,14.5501
China,Henan,2020-03-14T09:53:08,1273,22,1250,33.8820,113.6140
Belgium,Belgium,2020-03-17T15:33:06,1243,10,1,50.5039,4.4699
China,Zhejiang,2020-03-17T02:13:21,1232,1,1216,29.1832,120.0934
Sweden,Sweden,2020-03-17T15:33:06,1190,7,1,60.1282,18.6435
US,Washington,2020-03-17T23:33:03,1076,55,1,47.4009,-121.4905
China,Hunan,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
China,Anhui,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
Denmark,Denmark,2020-03-17T16:33:04,977,4,1,56.2639,9.5018
China,Jiangxi,2020-03-12T02:13:04,935,1,934,27.6140,115.7221
Japan,Japan,2020-03-17T16:53:04,878,29,144,36.2048,138.2529
China,Shandong,2020-03-17T00:33:02,761,7,746,36.3427,118.1498
US,California,2020-03-17T22:53:03,698,12,6,36.1162,-119.6816
Cruise Ship,Diamond Princess,2020-03-13T14:13:25,696,7,325,35.4498,139.6649
Malaysia,Malaysia,2020-03-17T15:33:06,673,2,49,4.2105,101.9758
China,Jiangsu,2020-03-15T01:53:02,631,0,631,32.9711,119.4550
China,Chongqing,2020-03-15T03:53:04,576,6,570,30.0572,107.8740
China,Sichuan,2020-03-17T08:33:02,540,3,520,30.6171,102.7103
China,Heilongjiang,2020-03-17T01:33:02,482,13,456,47.8620,127.7615
China,Beijing,2020-03-17T10:53:03,456,8,369,40.1824,116.4142
Portugal,Portugal,2020-03-17T15:33:06,448,1,3,39.3999,-8.2245
Qatar,Qatar,2020-03-16T15:13:09,439,0,4,25.3548,51.1839
Czechia,Czechia,2020-03-17T15:33:06,396,0,3,49.8175,15.4730
Greece,Greece,2020-03-17T16:33:04,387,5,8,39.0742,21.8243
China,Shanghai,2020-03-17T02:13:20,358,3,325,31.2020,121.4491
Israel,Israel,2020-03-17T20:53:02,337,0,11,31.0461,34.8516
Brazil,Brazil,2020-03-17T15:33:06,321,1,2,-14.2350,-51.9253
Finland,Finland,2020-03-17T12:33:06,321,0,10,61.9241,25.7482
China,Hebei,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
China,Fujian,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
Slovenia,Slovenia,2020-03-17T16:53:04,275,1,0,46.1512,14.9955
US,New Jersey,2020-03-17T20:13:22,267,3,1,40.2989,-74.5210
Singapore,Singapore,2020-03-17T15:33:06,266,0,114,1.3521,103.8198
China,Guangxi,2020-03-17T00:33:02,253,2,248,23.8298,108.7881
China,Shaanxi,2020-03-17T10:53:03,246,3,236,35.1917,108.8701
Poland,Poland,2020-03-17T20:53:02,238,5,13,51.9194,19.1451
Pakistan,Pakistan,2020-03-17T15:33:06,236,0,2,30.3753,69.3451
Bahrain,Bahrain,2020-03-17T03:13:15,228,1,81,26.0667,50.5577
Estonia,Estonia,2020-03-17T10:33:03,225,0,1,58.5953,25.0136
Ireland,Ireland,2020-03-17T02:53:03,223,2,5,53.1424,-7.6921
Iceland,Iceland,2020-03-17T15:33:06,220,1,0,64.9631,-19.0208
