Country/Region,Province/State,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
China,Hubei,2020-03-14T10:13:09,67790,3075,52960,30.9756,112.2707
Italy,Italy,2020-03-14T20:13:16,21157,1441,1966,41.8719,12.5674
Iran,Iran,2020-03-14T11:33:06,12729,611,2959,32.4279,53.6880
"Korea, South","Korea, South",2020-03-14T01:33:02,8086,72,510,35.9078,127.7669
Spain,Spain,2020-03-14T22:13:11,6391,195,517,40.4637,-3.7492
Germany,Germany,2020-03-14T22:13:11,4585,9,46,51.1657,10.4515
France,France,2020-03-14T20:13:16,4469,91,12,46.2276,2.2137
Switzerland,Switzerland,2020-03-14T11:53:29,1359,13,4,46.8182,8.2275
China,Guangdong,2020-03-14T01:13:11,1356,8,1299,23.3417,113.4244
China,Henan,2020-03-14T09:53:08,1273,22,1250,33.8820,113.6140
China,Zhejiang,2020-03-14T02:14:15,1227,1,1211,29.1832,120.0934
United Kingdom,United Kingdom,2020-03-14T14:53:04,1140,21,18,55.3781,-3.4360
Norway,Norway,2020-03-14T22:13:11,1090,3,1,60.4720,8.4689
China,Hunan,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
China,Anhui,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
Sweden,Sweden,2020-03-14T22:13:11,961,2,1,60.1282,18.6435
Netherlands,Netherlands,2020-03-14T22:13:11,959,12,2,52.1326,5.2913
China,Jiangxi,2020-03-12T02:13:04,935,1,934,27.6140,115.7221
Denmark,Denmark,2020-03-14T22:13:32,827,1,1,56.2639,9.5018
Japan,Japan,2020-03-14T22:33:03,773,22,118,36.2048,138.2529
China,Shandong,2020-03-14T04:33:02,760,7,741,36.3427,118.1498
Cruise Ship,Diamond Princess,2020-03-13T14:13:25,696,7,325,35.4498,139.6649
Belgium,Belgium,2020-03-14T11:53:29,689,4,1,50.5039,4.4699
Austria,Austria,2020-03-14T16:13:55,655,1,6,47.5162,14.5501
China,Jiangsu,2020-03-13T11:09:03,631,0,630,32.9711,119.4550
China,Chongqing,2020-03-14T23:53:02,576,6,569,30.0572,107.8740
US,Washington,2020-03-14T22:13:19,572,37,1,47.4009,-121.4905
China,Sichuan,2020-03-14T04:33:02,539,3,511,30.6171,102.7103
US,New York,2020-03-14T22:13:32,525,2,0,42.1657,-74.9481
China,Heilongjiang,2020-03-14T00:13:05,482,13,447,47.8620,127.7615
China,Beijing,2020-03-14T02:13:47,437,8,349,40.1824,116.4142
China,Shanghai,2020-03-14T23:53:02,353,3,324,31.2020,121.4491
US,California,2020-03-14T22:13:32,340,5,6,36.1162,-119.6816
Qatar,Qatar,2020-03-14T22:33:03,337,0,4,25.3548,51.1839
China,Hebei,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
China,Fujian,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
China,Guangxi,2020-03-13T11:09:03,252,2,243,23.8298,108.7881
China,Shaanxi,2020-03-12T01:33:02,245,2,232,35.1917,108.8701
Malaysia,Malaysia,2020-03-14T16:13:55,238,0,35,4.2105,101.9758
Greece,Greece,2020-03-14T22:33:03,228,3,8,39.0742,21.8243
Finland,Finland,2020-03-14T22:33:03,225,0,1,61.9241,25.7482
Singapore,Singapore,2020-03-14T16:14:30,212,0,105,1.3521,103.8198
Bahrain,Bahrain,2020-03-14T11:53:29,210,0,44,26.0667,50.5577
Israel,Israel,2020-03-14T20:13:16,193,0,4,31.0461,34.8516
Czechia,Czechia,2020-03-14T20:13:16,189,0,0,49.8175,15.4730
Slovenia,Slovenia,2020-03-14T22:33:03,181,1,0,46.1512,14.9955
China,Yunnan,2020-03-14T23:33:02,174,2,172,24.9740,101.4870
Portugal,Portugal,2020-03-14T16:14:47,169,0,2,39.3999,-8.2245
China,Hainan,2020-03-12T03:53:02,168,6,160,19.1959,109.7453
Iceland,Iceland,2020-03-14T14:53:04,156,0,1,64.9631,-19.0208
Brazil,Brazil,2020-03-13T22:21:58,151,0,0,-14.2350,-51.9253
China,Guizhou,2020-03-14T00:53:03,146,2,143,26.8154,106.8748
China,Hong Kong,2020-03-14T12:53:06,140,4,78,22.3000,114.2000
US,Massachusetts,2020-03-14T22:13:19,138,0,1,42.2302,-71.5301
China,Tianjin,2020-03-12T01:53:03,136,3,132,39.3054,117.3230
China,Shanxi,2020-03-13T11:09:03,133,0,133,37.5777,112.2922
China,Gansu,2020-03-14T03:13:08,129,2,89,36.0611,103.8343
Ireland,Ireland,2020-03-14T20:13:16,129,2,0,53.1424,-7.6921
China,Liaoning,2020-03-14T00:13:05,125,1,113,41.2956,122.6085
Romania,Romania,2020-03-14T22:33:03,123,0,9,45.9432,24.9668
Estonia,Estonia,2020-03-14T20:33:03,115,0,0,58.5953,25.0136
Australia,New South Wales,2020-03-14T13:33:04,112,2,4,-33.8688,151.2093
Philippines,Philippines,2020-03-14T20:33:03,111,8,2,12.8797,121.7740
Iraq,Iraq,2020-03-14T22:33:03,110,10,26,33.2232,43.6793
Egypt,Egypt,2020-03-14T22:33:03,109,2,27,26.8206,30.8025
Kuwait,Kuwait,2020-03-14T16:14:34,104,0,5,29.3117,47.4818
Poland,Poland,2020-03-14T22:53:02,103,3,0,51.9194,19.1451
Saudi Arabia,Saudi Arabia,2020-03-14T20:33:03,103,0,1,23.8859,45.0792
India,India,2020-03-14T20:33:03,102,2,4,20.5937,78.9629
US,Colorado,2020-03-14T22:13:32,101,1,0,39.0598,-105.3111
Indonesia,Indonesia,2020-03-14T22:53:02,96,5,8,-0.7893,113.9213
China,Jilin,2020-03-13T11:09:03,93,1,91,43.6661,126.1923
Lebanon,Lebanon,2020-03-14T12:13:12,93,3,1,33.8547,35.8623
United Arab Emirates,United Arab Emirates,2020-03-13T22:21:58,85,0,17,23.4241,53.8478
Thailand,Thailand,2020-03-14T12:13:12,82,1,35,15.8700,100.9925
San Marino,San Marino,2020-03-14T22:53:02,80,5,4,43.9424,12.4578
Canada,Ontario,2020-03-14T13:13:25,79,0,4,51.2538,-85.3232
US,Louisiana,2020-03-14T22:13:32,77,1,0,31.1695,-91.8678
China,Xinjiang,2020-03-11T02:18:14,76,3,73,41.1129,85.2401
US,Florida,2020-03-14T18:53:03,76,3,0,27.7663,-81.6868
China,Inner Mongolia,2020-03-11T03:53:03,75,1,71,44.0935,113.9448
China,Ningxia,2020-03-14T09:53:08,75,0,73,37.2692,106.1655
US,New Jersey,2020-03-14T22:13:32,69,1,0,40.2989,-74.5210
US,Georgia,2020-03-14T17:53:03,66,1,0,33.0406,-83.6431
Canada,British Columbia,2020-03-14T00:13:05,64,1,4,53.7267,-127.6476
US,Illinois,2020-03-14T22:33:04,64,0,2,40.3495,-88.9861
Chile,Chile,2020-03-14T20:33:03,61,0,0,-35.6751,-71.5430
Russia,Russia,2020-03-14T22:53:02,59,0,8,61.5240,105.3188
US,Texas,2020-03-14T22:33:03,57,0,0,31.0545,-97.5635
Taiwan*,Taiwan*,2020-03-14T07:13:11,53,1,20,23.7000,121.0000
Vietnam,Vietnam,2020-03-14T12:13:12,53,0,16,14.0583,108.2772
Luxembourg,Luxembourg,2020-03-14T20:33:03,51,1,0,49.8153,6.1296
Australia,Victoria,2020-03-14T13:33:04,49,0,8,-37.8136,144.9631
US,Pennsylvania,2020-03-14T18:53:03,47,0,0,40.5908,-77.2098
Australia,Queensland,2020-03-14T13:33:04,46,0,8,-28.0167,153.4000
Serbia,Serbia,2020-03-14T22:53:02,46,0,0,44.0165,21.0059
US,Diamond Princess,2020-03-10T02:33:04,46,0,0,35.4437,139.6380
Slovakia,Slovakia,2020-03-14T20:33:03,44,0,0,48.6690,19.6990
Bulgaria,Bulgaria,2020-03-14T20:33:03,41,2,0,42.7339,25.4858
US,Virginia,2020-03-14T22:33:03,41,1,0,37.7693,-78.1700
Brunei,Brunei,2020-03-14T20:33:03,40,0,0,4.5353,114.7277
Albania,Albania,2020-03-14T12:33:03,38,1,0,41.1533,20.1683
Croatia,Croatia,2020-03-14T20:33:03,38,0,1,45.1000,15.2000
Peru,Peru,2020-03-14T12:33:03,38,0,0,-9.1900,-75.0152
South Africa,South Africa,2020-03-14T16:14:56,38,0,0,-30.5595,22.9375
Algeria,Algeria,2020-03-14T12:33:03,37,3,12,28.0339,1.6596
Panama,Panama,2020-03-14T12:33:03,36,1,0,8.5380,-80.7821
Argentina,Argentina,2020-03-14T20:33:03,34,2,1,-38.4161,-63.6167
US,Oregon,2020-03-14T16:33:03,32,0,0,44.5720,-122.0709
US,Tennessee,2020-03-14T22:33:04,32,0,0,35.7478,-86.6923
Pakistan,Pakistan,2020-03-14T20:33:03,31,0,2,30.3753,69.3451
Georgia,Georgia,2020-03-14T12:33:03,30,0,0,42.3154,43.3569
Hungary,Hungary,2020-03-14T22:53:02,30,0,1,47.1625,19.5033
