Country/Region,Province/State,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
Mainland China,Hubei,2020-03-05T14:53:03,67466,2902,40592,30.9756,112.2707
South Korea,South Korea,2020-03-05T09:03:09,6088,35,41,36.0000,128.0000
Italy,Italy,2020-03-05T17:43:03,3858,148,414,43.0000,12.0000
Iran,Iran,2020-03-05T13:43:04,3513,107,739,32.0000,53.0000
Mainland China,Guangdong,2020-03-05T09:23:03,1351,7,1181,23.3417,113.4244
Mainland China,Henan,2020-03-05T01:48:26,1272,22,1239,33.8820,113.6140
Mainland China,Zhejiang,2020-03-05T09:43:03,1215,1,1124,29.1832,120.0934
Mainland China,Hunan,2020-03-05T08:43:03,1018,4,938,27.6104,111.7088
Mainland China,Anhui,2020-03-05T04:33:02,990,6,970,31.8257,117.2264
Mainland China,Jiangxi,2020-03-05T01:16:58,935,1,901,27.6140,115.7221
Mainland China,Shandong,2020-03-05T14:53:03,758,6,578,36.3427,118.1498
Others,Diamond Princess cruise ship,2020-03-03T03:13:06,706,6,10,35.4437,139.6380
Mainland China,Jiangsu,2020-03-05T14:53:03,631,0,583,32.9711,119.4550
Mainland China,Chongqing,2020-03-05T23:23:02,576,6,512,30.0572,107.8740
Mainland China,Sichuan,2020-03-05T14:53:03,539,3,425,30.6171,102.7103
Germany,Germany,2020-03-05T17:43:03,482,0,16,51.0000,9.0000
Mainland China,Heilongjiang,2020-03-05T00:23:06,481,13,379,47.8620,127.7615
Mainland China,Beijing,2020-03-04T23:23:01,418,8,297,40.1824,116.4142
France,France,2020-03-05T15:13:22,377,6,12,47.0000,2.0000
Japan,Japan,2020-03-05T13:43:04,360,6,43,36.0000,138.0000
Mainland China,Shanghai,2020-03-05T06:23:06,339,3,303,31.2020,121.4491
Mainland China,Hebei,2020-03-05T14:53:03,318,6,304,38.0428,114.5149
Mainland China,Fujian,2020-03-05T09:33:03,296,1,277,26.0789,117.9874
Spain,Spain,2020-03-05T17:43:03,259,3,2,40.0000,-4.0000
Mainland China,Guangxi,2020-03-05T10:03:08,252,2,214,23.8298,108.7881
Mainland China,Shaanxi,2020-03-05T06:03:08,245,1,224,35.1917,108.8701
Mainland China,Yunnan,2020-03-03T03:43:02,174,2,169,24.9740,101.4870
Mainland China,Hainan,2020-03-05T06:13:10,168,6,158,19.1959,109.7453
Mainland China,Guizhou,2020-03-02T01:13:06,146,2,114,26.8154,106.8748
Mainland China,Tianjin,2020-03-05T03:33:27,136,3,128,39.3054,117.3230
Mainland China,Shanxi,2020-03-05T14:53:03,133,0,126,37.5777,112.2922
Mainland China,Liaoning,2020-03-03T14:33:03,125,1,106,41.2956,122.6085
Singapore,Singapore,2020-03-05T13:43:04,117,0,78,1.2833,103.8333
UK,UK,2020-03-05T18:03:03,115,1,8,55.0000,-3.0000
Switzerland,Switzerland,2020-03-05T17:43:03,114,1,3,46.8182,8.2275
Hong Kong,Hong Kong,2020-03-05T00:23:07,105,2,43,22.3000,114.2000
Mainland China,Gansu,2020-03-05T15:13:13,102,2,87,36.0611,103.8343
Sweden,Sweden,2020-03-05T18:03:03,94,0,0,63.0000,16.0000
Mainland China,Jilin,2020-03-05T14:53:03,93,1,88,43.6661,126.1923
Norway,Norway,2020-03-05T17:43:03,87,0,0,60.4720,8.4689
Netherlands,Netherlands,2020-03-05T14:23:03,82,0,0,52.1326,5.2913
Mainland China,Xinjiang,2020-03-05T06:03:08,76,3,70,41.1129,85.2401
Mainland China,Inner Mongolia,2020-03-05T23:53:01,75,1,65,44.0935,113.9448
Mainland China,Ningxia,2020-03-04T01:33:07,75,0,69,37.2692,106.1655
Kuwait,Kuwait,2020-03-05T13:43:04,58,0,0,29.5000,47.7500
Bahrain,Bahrain,2020-03-05T13:53:03,55,0,0,26.0275,50.5500
US,"King County, WA",2020-03-05T22:03:17,51,10,1,47.5480,-121.9836
Belgium,Belgium,2020-03-05T13:53:03,50,0,1,50.8333,4.0000
Malaysia,Malaysia,2020-03-04T13:03:08,50,0,22,2.5000,112.5000
Thailand,Thailand,2020-03-05T06:23:06,47,1,31,15.0000,101.0000
US,Unassigned Location (From Diamond Princess),2020-03-02T19:53:03,45,0,0,35.4437,139.6380
Taiwan,Taiwan,2020-03-05T14:53:03,44,1,12,23.7000,121.0000
Austria,Austria,2020-03-05T17:53:02,41,0,0,47.5162,14.5501
Iraq,Iraq,2020-03-04T20:43:02,35,2,0,33.0000,44.0000
Iceland,Iceland,2020-03-05T13:53:03,34,0,0,64.9631,-19.0208
Greece,Greece,2020-03-05T14:23:03,31,0,0,39.0742,21.8243
India,India,2020-03-05T13:53:03,30,0,3,21.0000,78.0000
United Arab Emirates,United Arab Emirates,2020-03-05T23:53:02,29,0,5,24.0000,54.0000
Australia,New South Wales,2020-03-04T20:43:03,22,1,4,-33.8688,151.2093
Canada,"Toronto, ON",2020-03-05T17:53:03,21,0,2,43.6532,-79.3832
San Marino,San Marino,2020-03-05T13:53:03,21,1,0,43.9424,12.4578
US,"Santa Clara, CA",2020-03-05T22:53:03,20,0,1,37.3541,-121.9552
Mainland China,Qinghai,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
US,"Snohomish County, WA",2020-03-05T20:23:07,18,1,0,48.0330,-121.8339
US,"Westchester County, NY",2020-03-05T21:33:03,18,0,0,41.1220,-73.7949
Israel,Israel,2020-03-05T17:53:02,16,0,1,31.0000,35.0000
Lebanon,Lebanon,2020-03-05T17:53:02,16,0,1,33.8547,35.8623
Oman,Oman,2020-03-05T17:53:02,16,0,2,21.0000,57.0000
Vietnam,Vietnam,2020-02-25T08:53:02,16,0,16,16.0000,108.0000
Australia,Queensland,2020-03-05T17:33:06,13,0,8,-28.0167,153.4000
Canada,British Columbia,2020-03-05T04:43:03,13,0,3,49.2827,-123.1207
Ecuador,Ecuador,2020-03-05T17:53:02,13,0,0,-1.8312,-78.1834
Algeria,Algeria,2020-03-04T19:33:03,12,0,0,28.0339,1.6596
Czech Republic,Czech Republic,2020-03-05T17:53:02,12,0,0,49.8175,15.4730
Finland,Finland,2020-03-05T13:53:03,12,0,1,64.0000,26.0000
US,"Los Angeles, CA",2020-03-05T21:03:14,11,0,0,34.0522,-118.2437
Australia,Victoria,2020-03-05T18:33:03,10,0,7,-37.8136,144.9631
Croatia,Croatia,2020-03-04T16:53:02,10,0,0,45.1667,15.5000
Denmark,Denmark,2020-03-04T00:03:15,10,0,0,56.2639,9.5018
Macau,Macau,2020-03-03T12:33:02,10,0,9,22.1667,113.5500
Portugal,Portugal,2020-03-05T13:53:03,8,0,0,39.3999,-8.2245
Qatar,Qatar,2020-03-04T00:03:15,8,0,0,25.3548,51.1839
Azerbaijan,Azerbaijan,2020-03-05T13:53:03,6,0,0,40.1431,47.5769
Belarus,Belarus,2020-03-04T12:43:03,6,0,0,53.7098,27.9534
Ireland,Ireland,2020-03-04T21:13:07,6,0,0,53.1424,-7.6921
Romania,Romania,2020-03-05T06:23:06,6,0,1,46.0000,25.0000
Australia,South Australia,2020-03-04T21:03:07,5,0,2,-34.9285,138.6007
Mexico,Mexico,2020-03-03T10:03:04,5,0,1,23.0000,-102.0000
Pakistan,Pakistan,2020-03-03T04:33:03,5,0,0,30.3753,69.3451
Saudi Arabia,Saudi Arabia,2020-03-05T17:53:03,5,0,0,24.0000,45.0000
US,"Cook County, IL",2020-03-05T18:33:03,5,0,2,41.7377,-87.6976
Brazil,Brazil,2020-03-04T20:33:02,4,0,0,-14.2350,-51.9253
Chile,Chile,2020-03-05T18:13:04,4,0,0,-35.6751,-71.5430
Georgia,Georgia,2020-03-05T13:53:03,4,0,0,42.3154,43.3569
Palestine,Palestine,2020-03-05T13:53:03,4,0,0,31.9522,35.2332
Russia,Russia,2020-03-05T13:53:03,4,0,2,60.0000,90.0000
Senegal,Senegal,2020-03-04T20:43:02,4,0,0,14.4974,-14.4524
US,"New York City, NY",2020-03-05T21:03:13,4,0,0,40.7128,-74.0060
Australia,Western Australia,2020-03-05T17:13:35,3,1,0,-31.9505,115.8605
Egypt,Egypt,2020-03-05T13:53:03,3,0,1,26.0000,30.0000
Estonia,Estonia,2020-03-05T13:53:03,3,0,0,58.5953,25.0136
New Zealand,New Zealand,2020-03-04T20:13:11,3,0,0,-40.9006,174.8860
Philippines,Philippines,2020-02-12T07:43:02,3,1,1,13.0000,122.0000
Saint Barthelemy,Saint Barthelemy,2020-03-04T02:43:03,3,0,0,17.9000,-62.8333
US,"Orange County, CA",2020-03-04T02:13:11,3,0,0,33.7879,-117.8531
US,"San Diego County, CA",2020-03-05T20:33:03,3,0,1,32.7157,-117.1611
Bosnia and Herzegovina,Bosnia and Herzegovina,2020-03-05T17:13:30,2,0,0,43.9159,17.6791
Canada," Montreal, QC",2020-03-05T14:03:04,2,0,0,45.5017,-73.5673
Hungary,Hungary,2020-03-05T17:13:27,2,0,0,47.1625,19.5033
Indonesia,Indonesia,2020-03-02T18:03:04,2,0,0,-0.7893,113.9213
Morocco,Morocco,2020-03-05T13:53:03,2,0,0,31.7917,-7.0926
Slovenia,Slovenia,2020-03-05T17:13:30,2,0,0,46.1512,14.9955
US,"Bergen County, NJ",2020-03-05T21:03:12,2,0,0,40.9263,-74.0770
US,"Fulton County, GA",2020-03-03T03:33:02,2,0,0,33.8034,-84.3963
US,"Grafton County, NH",2020-03-03T23:33:03,2,0,0,43.9088,-71.8260
US,"Harris County, TX",2020-03-05T21:53:02,2,0,0,29.7752,-95.3103
US,"Hillsborough, FL",2020-03-03T18:33:02,2,0,0,27.9904,-82.3018
US,"Placer County, CA",2020-03-04T19:53:02,2,1,0,39.0916,-120.8039
US,"Providence, RI",2020-03-02T03:43:02,2,0,0,41.8240,-71.4128
US,"Sacramento County, CA",2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
US,"San Benito, CA",2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
US,"San Francisco County, CA",2020-03-05T20:33:03,2,0,0,37.7749,-122.4194
US,"San Mateo, CA",2020-03-03T00:43:02,2,0,0,37.5630,-122.3255
US,"Washington County, OR",2020-03-03T03:03:02,2,0,0,45.5470,-123.1386
Afghanistan,Afghanistan,2020-02-24T23:33:02,1,0,0,33.0000,65.0000
Andorra,Andorra,2020-03-02T20:23:16,1,0,0,42.5063,1.5218
Argentina,Argentina,2020-03-04T01:33:07,1,0,0,-38.4161,-63.6167
Armenia,Armenia,2020-03-01T19:53:02,1,0,0,40.0691,45.0382
Australia,Northern Territory,2020-03-04T19:43:02,1,0,0,-12.4634,130.8456
Australia,Tasmania,2020-03-02T20:53:02,1,0,0,-41.4545,145.9707
Cambodia,Cambodia,2020-02-12T07:43:02,1,0,1,11.5500,104.9167
Canada,"London, ON",2020-02-12T18:53:03,1,0,1,42.9849,-81.2453
Dominican Republic,Dominican Republic,2020-03-02T16:33:02,1,0,0,18.7357,-70.1627
Faroe Islands,Faroe Islands,2020-03-04T12:53:03,1,0,0,61.8926,-6.9118
Gibraltar,Gibraltar,2020-03-04T13:03:13,1,0,0,36.1408,-5.3536
Jordan,Jordan,2020-03-03T15:33:02,1,0,0,31.2400,36.5100
Latvia,Latvia,2020-03-04T01:33:07,1,0,0,56.8796,24.6032
Liechtenstein,Liechtenstein,2020-03-04T01:33:07,1,0,0,47.1400,9.5500
Lithuania,Lithuania,2020-02-28T16:23:03,1,0,0,55.1694,23.8813
Luxembourg,Luxembourg,2020-03-03T00:23:16,1,0,0,49.8144,6.1317
Mainland China,Tibet,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
Monaco,Monaco,2020-02-29T00:33:01,1,0,0,43.7333,7.4167
Nepal,Nepal,2020-02-12T14:43:03,1,0,1,28.1667,84.2500
Nigeria,Nigeria,2020-02-28T16:23:03,1,0,0,9.0820,8.6753
North Macedonia,North Macedonia,2020-02-27T16:23:03,1,0,0,41.6086,21.7453
Poland,Poland,2020-03-04T15:13:18,1,0,0,51.9194,19.1451
South Africa,South Africa,2020-03-05T13:53:03,1,0,0,-30.5595,22.9375
Sri Lanka,Sri Lanka,2020-02-08T03:43:03,1,0,1,7.0000,81.0000
Tunisia,Tunisia,2020-03-04T01:33:07,1,0,0,34.0000,9.0000
US," Norfolk County, MA",2020-03-03T14:33:03,1,0,0,42.1767,-71.1449
US,"Berkeley, CA",2020-03-03T23:53:03,1,0,0,37.8715,-122.2730
US,"Boston, MA",2020-02-28T21:13:12,1,0,1,42.3601,-71.0589
US,"Clark County, NV",2020-03-05T20:53:03,1,0,0,36.0796,-115.0940
US,"Contra Costa County, CA",2020-03-04T04:23:05,1,0,0,37.8534,-121.9018
US,"Fort Bend County, TX",2020-03-05T01:16:59,1,0,0,29.5693,-95.8143
US,"Grant County, WA",2020-03-05T20:23:07,1,0,0,47.1981,-119.3732
US,"Humboldt County, CA",2020-02-21T05:13:09,1,0,0,40.7450,-123.8695
US,"Madison, WI",2020-03-03T15:53:03,1,0,1,43.0731,-89.4012
US,"Maricopa County, AZ",2020-03-03T17:33:02,1,0,0,33.2918,-112.4291
US,"Queens County, NY",2020-03-05T21:43:02,1,0,0,40.7282,-73.7949
US,"San Antonio, TX",2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
US,"Santa Rosa County, FL",2020-03-05T20:03:03,1,0,0,30.7690,-86.9824
US,"Sarasota, FL",2020-03-02T03:23:06,1,0,0,27.3364,-82.5307
US,"Sonoma County, CA",2020-03-02T20:53:02,1,0,0,38.5780,-122.9888
US,"Tempe, AZ",2020-02-25T21:23:03,1,0,1,33.4255,-111.9400
US,"Umatilla, OR",2020-03-02T20:23:16,1,0,0,45.7750,-118.7606
US,"Wake County, NC",2020-03-03T20:53:02,1,0,0,35.8032,-78.5661
US,"Williamson County, TN",2020-03-05T23:33:03,1,0,0,35.9179,-86.8622
Ukraine,Ukraine,2020-03-03T15:33:02,1,0,0,48.3794,31.1656
Australia,From Diamond Princess,2020-02-29T02:03:10,0,0,0,35.4437,139.6380
US,"Lackland, TX (From Diamond Princess)",2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
US,"Omaha, NE (From Diamond Princess)",2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
US,"Travis, CA (From Diamond Princess)",2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
