Country/Region,Province/State,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
China,Hubei,2020-03-16T14:38:45,67798,3099,55142,30.9756,112.2707
Italy,Italy,2020-03-16T17:33:03,27980,2158,2749,41.8719,12.5674
Iran,Iran,2020-03-16T14:38:45,14991,853,4590,32.4279,53.6880
Spain,Spain,2020-03-16T20:13:11,9942,342,530,40.4637,-3.7492
"Korea, South","Korea, South",2020-03-16T14:38:45,8236,75,1137,35.9078,127.7669
Germany,Germany,2020-03-16T20:13:11,7272,17,67,51.1657,10.4515
France,France,2020-03-16T20:13:11,6633,148,12,46.2276,2.2137
Switzerland,Switzerland,2020-03-15T18:20:18,2200,14,4,46.8182,8.2275
United Kingdom,United Kingdom,2020-03-16T19:13:13,1543,55,20,55.3781,-3.4360
Netherlands,Netherlands,2020-03-16T14:38:46,1413,24,2,52.1326,5.2913
China,Guangdong,2020-03-16T01:53:03,1361,8,1306,23.3417,113.4244
Norway,Norway,2020-03-16T21:13:12,1333,3,1,60.4720,8.4689
China,Henan,2020-03-14T09:53:08,1273,22,1250,33.8820,113.6140
China,Zhejiang,2020-03-16T14:38:45,1231,1,1216,29.1832,120.0934
Sweden,Sweden,2020-03-16T14:38:45,1103,6,1,60.1282,18.6435
Belgium,Belgium,2020-03-16T14:38:45,1058,5,1,50.5039,4.4699
Austria,Austria,2020-03-16T15:13:09,1018,3,6,47.5162,14.5501
China,Hunan,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
China,Anhui,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
US,New York,2020-03-16T21:53:03,967,10,0,42.1657,-74.9481
China,Jiangxi,2020-03-12T02:13:04,935,1,934,27.6140,115.7221
Denmark,Denmark,2020-03-16T18:33:03,914,3,1,56.2639,9.5018
US,Washington,2020-03-16T23:53:03,904,48,1,47.4009,-121.4905
Japan,Japan,2020-03-16T14:38:45,825,27,144,36.2048,138.2529
China,Shandong,2020-03-16T14:38:45,760,7,746,36.3427,118.1498
Cruise Ship,Diamond Princess,2020-03-13T14:13:25,696,7,325,35.4498,139.6649
China,Jiangsu,2020-03-15T01:53:02,631,0,631,32.9711,119.4550
China,Chongqing,2020-03-15T03:53:04,576,6,570,30.0572,107.8740
Malaysia,Malaysia,2020-03-16T14:38:45,566,0,42,4.2105,101.9758
US,California,2020-03-16T23:53:03,557,7,6,36.1162,-119.6816
China,Sichuan,2020-03-15T18:20:18,539,3,516,30.6171,102.7103
China,Heilongjiang,2020-03-16T14:38:45,482,13,455,47.8620,127.7615
China,Beijing,2020-03-16T14:38:45,452,8,360,40.1824,116.4142
Qatar,Qatar,2020-03-16T15:13:09,439,0,4,25.3548,51.1839
China,Shanghai,2020-03-16T14:38:45,355,3,325,31.2020,121.4491
Greece,Greece,2020-03-16T00:22:10,331,4,8,39.0742,21.8243
