Country/Region,Province/State,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Bahrain,Bahrain,2020-03-11T20:00:00,189,0,44,26.0667,50.5577
Iceland,Iceland,2020-03-11T20:00:00,134,0,1,64.9631,-19.0208
Ecuador,Ecuador,2020-03-11T20:00:00,17,0,0,-1.8312,-78.1834
Estonia,Estonia,2020-03-11T20:00:00,79,0,0,58.5953,25.0136
Denmark,Denmark,2020-03-11T20:00:00,801,0,1,56.2639,9.5018
United Kingdom,United Kingdom,2020-03-11T20:00:00,798,8,18,55.3781,-3.436
Netherlands,Netherlands,2020-03-11T20:00:00,804,10,0,52.1326,5.2913
Cuba,Cuba,2020-03-11T20:00:00,4,0,0,21.5218,-77.7812
Canada,Quebec,2020-03-11T20:00:00,17,0,0,52.9399,-73.5491
Nigeria,Nigeria,2020-03-11T20:00:00,2,0,0,9.082,8.6753
Lithuania,Lithuania,2020-03-11T20:00:00,6,0,0,55.1694,23.8813
New Zealand,New Zealand,2020-03-11T20:00:00,5,0,0,-40.9006,174.886
Belarus,Belarus,2020-03-11T20:00:00,27,0,3,53.7098,27.9534
Azerbaijan,Azerbaijan,2020-03-11T20:00:00,15,1,3,40.1431,47.5769
Armenia,Armenia,2020-03-11T20:00:00,8,0,0,40.0691,45.0382
Kazakhstan,Kazakhstan,2020-03-11T20:00:00,4,0,0,48.0196,66.9237
Iran,Iran,2020-03-11T20:00:00,11364,514,2959,32.4279,53.688
Israel,Israel,2020-03-11T20:00:00,161,0,4,31.0461,34.8516
France,French Polynesia,2020-03-11T20:00:00,3,0,0,-17.6797,149.4068
Australia,Western Australia,2020-03-11T20:00:00,14,1,0,-31.9505,115.8605
Cayman Islands,Cayman Islands,2020-03-11T20:00:00,1,0,0,19.3133,-81.2546
Japan,Japan,2020-03-11T20:00:00,701,19,118,36.2048,138.2529
Czechia,Czechia,2020-03-11T20:00:00,141,0,0,49.8175,15.473
Qatar,Qatar,2020-03-11T20:00:00,320,0,0,25.3548,51.1839
Singapore,Singapore,2020-03-11T20:00:00,200,0,97,1.3521,103.8198
Guadeloupe,Guadeloupe,2020-03-11T20:00:00,1,0,0,16.265,-61.551
Dominican Republic,Dominican Republic,2020-03-11T20:00:00,5,0,0,18.7357,-70.1627
Egypt,Egypt,2020-03-11T20:00:00,80,2,27,26.8206,30.8025
Bolivia,Bolivia,2020-03-11T20:00:00,3,0,0,-16.2902,-63.5887
Canada,Manitoba,2020-03-11T20:00:00,4,0,0,53.7609,-98.8139
Canada,Saskatchewan,2020-03-11T20:00:00,2,0,0,52.9399,-106.4509
Indonesia,Indonesia,2020-03-11T20:00:00,69,4,2,-0.7893,113.9213
"Korea, South","Korea, South",2020-03-11T20:00:00,7979,66,510,35.9078,127.7669
Latvia,Latvia,2020-03-11T20:00:00,17,0,1,56.8796,24.6032
Senegal,Senegal,2020-03-11T20:00:00,10,0,1,14.4974,-14.4524
Ethiopia,Ethiopia,2020-03-11T20:00:00,1,0,0,9.145,40.4897
