Country/Region,Province/State,LastUpdate,Confirmed,Deaths,Recovered,Latitude,Longitude
China,Hubei,2020-03-15T18:20:18,67794,3085,54288,30.9756,112.2707
Italy,Italy,2020-03-14T20:13:16,24747,1809,2335,41.8719,12.5674
Iran,Iran,2020-03-15T18:20:18,13938,724,4590,32.4279,53.688
"Korea, South","Korea, South",2020-03-15T18:20:18,8162,75,510,35.9078,127.7669
Spain,Spain,2020-03-15T18:20:18,7798,289,517,40.4637,-3.7492
Germany,Germany,2020-03-15T18:20:18,5795,11,46,51.1657,10.4515
France,France,2020-03-15T18:20:18,4499,91,12,46.2276,2.2137
Switzerland,Switzerland,2020-03-15T18:20:18,2200,14,4,46.8182,8.2275
China,Guangdong,2020-03-15T18:20:18,1360,8,1304,23.3417,113.4244
China,Henan,2020-03-14T09:53:08,1273,22,1250,33.882,113.614
China,Zhejiang,2020-03-15T01:33:02,1231,1,1211,29.1832,120.0934
Norway,Norway,2020-03-15T18:20:18,1221,3,1,60.472,8.4689
United Kingdom,United Kingdom,2020-03-14T14:53:04,1140,21,18,55.3781,-3.436
Netherlands,Netherlands,2020-03-15T18:20:18,1135,20,2,52.1326,5.2913
Sweden,Sweden,2020-03-15T18:20:18,1022,3,1,60.1282,18.6435
China,Hunan,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
China,Anhui,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
China,Jiangxi,2020-03-12T02:13:04,935,1,934,27.614,115.7221
Belgium,Belgium,2020-03-15T18:20:18,886,4,1,50.5039,4.4699
Denmark,Denmark,2020-03-15T18:20:19,864,2,1,56.2639,9.5018
Austria,Austria,2020-03-15T18:20:18,860,1,6,47.5162,14.5501
Japan,Japan,2020-03-14T22:33:03,839,22,118,36.2048,138.2529
China,Shandong,2020-03-14T04:33:02,760,7,741,36.3427,118.1498
US,New York,2020-03-15T18:20:19,732,3,0,42.1657,-74.9481
Cruise Ship,Diamond Princess,2020-03-13T14:13:25,696,7,325,35.4498,139.6649
US,Washington,2020-03-15T02:13:21,643,40,1,47.4009,-121.4905
China,Jiangsu,2020-03-15T01:53:02,631,0,631,32.9711,119.455
China,Chongqing,2020-03-15T03:53:04,576,6,570,30.0572,107.874
China,Sichuan,2020-03-15T18:20:18,539,3,516,30.6171,102.7103
China,Heilongjiang,2020-03-15T00:33:02,482,13,453,47.862,127.7615
China,Beijing,2020-03-15T01:13:10,442,8,353,40.1824,116.4142
Malaysia,Malaysia,2020-03-15T18:20:18,428,0,42,4.2105,101.9758
US,California,2020-03-15T18:33:03,426,6,6,36.1162,-119.6816
China,Shanghai,2020-03-14T23:53:02,353,3,324,31.202,121.4491
Qatar,Qatar,2020-03-14T22:33:03,401,0,4,25.3548,51.1839
China,Hebei,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
China,Fujian,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
China,Guangxi,2020-03-13T11:09:03,252,2,243,23.8298,108.7881
China,Shaanxi,2020-03-12T01:33:02,245,2,232,35.1917,108.8701
Portugal,Portugal,2020-03-15T18:20:18,245,0,2,39.3999,-8.2245
Finland,Finland,2020-03-15T18:20:18,244,0,10,61.9241,25.7482
Czechia,Czechia,2020-03-15T18:20:18,253,0,0,49.8175,15.473
Greece,Greece,2020-03-15T18:20:18,331,4,8,39.0742,21.8243
Singapore,Singapore,2020-03-15T18:20:18,226,0,105,1.3521,103.8198
Slovenia,Slovenia,2020-03-15T18:20:18,219,1,0,46.1512,14.9955
Bahrain,Bahrain,2020-03-14T11:53:29,214,0,60,26.0667,50.5577
Israel,Israel,2020-03-15T18:20:18,251,0,4,31.0461,34.8516
China,Yunnan,2020-03-14T23:33:02,174,2,172,24.974,101.487
China,Hainan,2020-03-12T03:53:02,168,6,160,19.1959,109.7453
Brazil,Brazil,2020-03-15T18:20:18,162,0,0,-14.235,-51.9253
Iceland,Iceland,2020-03-15T18:20:18,171,5,8,64.9631,-19.0208
China,Guizhou,2020-03-14T00:53:03,146,2,143,26.8154,106.8748
China,Hong Kong,2020-03-15T18:20:18,145,4,81,22.3,114.2
Philippines,Philippines,2020-03-15T18:20:18,140,11,2,12.8797,121.774
US,Massachusetts,2020-03-14T22:13:19,164,0,1,42.2302,-71.5301
China,Tianjin,2020-03-15T18:20:18,136,3,133,39.3054,117.323
Estonia,Estonia,2020-03-15T18:20:18,171,0,1,58.5953,25.0136
Australia,New South Wales,2020-03-15T18:20:19,134,2,4,-33.8688,151.2093
China,Gansu,2020-03-15T18:20:18,133,2,91,36.0611,103.8343
China,Shanxi,2020-03-13T11:09:03,133,0,133,37.5777,112.2922
Romania,Romania,2020-03-15T18:20:18,131,0,9,45.9432,24.9668
Ireland,Ireland,2020-03-14T20:13:16,129,2,0,53.1424,-7.6921
China,Liaoning,2020-03-15T04:13:27,125,1,114,41.2956,122.6085
Poland,Poland,2020-03-15T18:20:18,119,3,0,51.9194,19.1451
Indonesia,Indonesia,2020-03-15T18:20:18,117,5,8,-0.7893,113.9213
US,Florida,2020-03-15T18:20:19,115,4,0,27.7663,-81.6868
Thailand,Thailand,2020-03-15T18:20:18,114,1,35,15.87,100.9925
India,India,2020-03-15T18:20:18,113,2,13,20.5937,78.9629
Kuwait,Kuwait,2020-03-15T18:20:18,112,0,5,29.3117,47.4818
Egypt,Egypt,2020-03-15T18:20:18,110,2,21,26.8206,30.8025
Iraq,Iraq,2020-03-14T22:33:03,116,10,26,33.2232,43.6793
Lebanon,Lebanon,2020-03-15T18:20:18,110,3,1,33.8547,35.8623
Canada,Ontario,2020-03-15T01:53:03,104,0,4,51.2538,-85.3232
Saudi Arabia,Saudi Arabia,2020-03-14T20:33:03,103,0,1,23.8859,45.0792
US,Colorado,2020-03-14T22:13:32,131,1,0,39.0598,-105.3111
US,Georgia,2020-03-15T18:20:19,99,1,0,33.0406,-83.6431
China,Jilin,2020-03-13T11:09:03,93,1,91,43.6661,126.1923
San Marino,San Marino,2020-03-15T18:20:18,101,5,4,43.9424,12.4578
US,Louisiana,2020-03-15T18:20:19,91,2,0,31.1695,-91.8678
United Arab Emirates,United Arab Emirates,2020-03-15T18:20:18,98,0,23,23.4241,53.8478
China,Xinjiang,2020-03-11T02:18:14,76,3,73,41.1129,85.2401
China,Inner Mongolia,2020-03-11T03:53:03,75,1,71,44.0935,113.9448
China,Ningxia,2020-03-14T09:53:08,75,0,73,37.2692,106.1655
US,New Jersey,2020-03-15T18:20:19,98,2,0,40.2989,-74.521
Canada,British Columbia,2020-03-15T01:53:02,73,1,4,53.7267,-127.6476
US,Illinois,2020-03-15T18:20:19,93,0,2,40.3495,-88.9861
Russia,Russia,2020-03-15T18:20:18,63,0,8,61.524,105.3188
US,Texas,2020-03-15T18:20:19,72,0,0,31.0545,-97.5635
Australia,Queensland,2020-03-15T18:20:19,61,0,8,-28.0167,153.4
Chile,Chile,2020-03-14T20:33:03,74,0,0,-35.6751,-71.543
Luxembourg,Luxembourg,2020-03-15T18:20:18,59,1,0,49.8153,6.1296
Taiwan*,Taiwan*,2020-03-15T06:53:03,59,1,20,23.7,121
Australia,Victoria,2020-03-15T18:20:19,57,0,8,-37.8136,144.9631
Vietnam,Vietnam,2020-03-15T18:20:18,56,0,16,14.0583,108.2772
Slovakia,Slovakia,2020-03-15T18:20:18,54,0,0,48.669,19.699
Pakistan,Pakistan,2020-03-15T18:20:18,53,0,2,30.3753,69.3451
South Africa,South Africa,2020-03-15T18:20:18,51,0,0,-30.5595,22.9375
Brunei,Brunei,2020-03-15T18:20:18,50,0,0,4.5353,114.7277
Croatia,Croatia,2020-03-15T18:20:18,49,0,1,45.1,15.2
Algeria,Algeria,2020-03-15T18:20:18,48,4,12,28.0339,1.6596
US,Pennsylvania,2020-03-14T18:53:03,66,0,0,40.5908,-77.2098
Serbia,Serbia,2020-03-14T22:53:02,48,0,0,44.0165,21.0059
US,Diamond Princess,2020-03-10T02:33:04,46,0,0,35.4437,139.638
Argentina,Argentina,2020-03-15T18:20:18,45,2,1,-38.4161,-63.6167
US,Virginia,2020-03-15T18:20:19,45,1,0,37.7693,-78.17
Bulgaria,Bulgaria,2020-03-15T18:20:18,51,2,0,42.7339,25.4858
Panama,Panama,2020-03-15T18:20:18,43,1,0,8.538,-80.7821
Peru,Peru,2020-03-15T18:20:18,43,0,0,-9.19,-75.0152
Albania,Albania,2020-03-15T18:20:18,42,1,0,41.1533,20.1683
Mexico,Mexico,2020-03-15T18:20:18,41,0,4,23.6345,-102.5528
Canada,Alberta,2020-03-15T01:53:03,39,0,0,53.9333,-116.5765
US,Oregon,2020-03-15T18:20:19,36,1,0,44.572,-122.0709
US,Minnesota,2020-03-15T18:20:19,35,0,0,45.6945,-93.9002
Colombia,Colombia,2020-03-15T18:20:18,34,0,0,4.5709,-74.2973
US,Michigan,2020-03-15T18:20:19,33,0,0,43.3266,-84.5361
Hungary,Hungary,2020-03-15T18:20:18,32,1,1,47.1625,19.5033
US,North Carolina,2020-03-15T18:20:19,33,0,0,35.6301,-79.8064
US,Tennessee,2020-03-14T22:33:04,39,0,0,35.7478,-86.6923
US,Maryland,2020-03-15T18:20:19,32,0,0,39.0639,-76.8021
Georgia,Georgia,2020-03-14T12:33:03,33,0,0,42.3154,43.3569
Latvia,Latvia,2020-03-15T18:20:18,30,0,1,56.8796,24.6032
US,Ohio,2020-03-15T18:20:19,37,0,0,40.3888,-82.7649
Ecuador,Ecuador,2020-03-14T22:53:02,28,2,0,-1.8312,-78.1834
Morocco,Morocco,2020-03-15T18:20:18,28,1,1,31.7917,-7.0926
US,Wisconsin,2020-03-15T18:20:19,32,0,1,44.2685,-89.6165
Belarus,Belarus,2020-03-13T22:21:59,27,0,3,53.7098,27.9534
Costa Rica,Costa Rica,2020-03-15T18:20:18,27,0,0,9.7489,-83.7534
Cyprus,Cyprus,2020-03-14T22:53:02,26,0,0,35.1264,33.4299
Canada,Quebec,2020-03-15T01:53:02,24,0,0,52.9399,-73.5491
US,Connecticut,2020-03-15T18:20:19,24,0,0,41.5978,-72.7554
US,Utah,2020-03-15T18:20:19,28,0,0,40.15,-111.8624
Armenia,Armenia,2020-03-15T18:20:18,26,0,0,40.0691,45.0382
Bosnia and Herzegovina,Bosnia and Herzegovina,2020-03-15T18:20:18,24,0,0,43.9159,17.6791
Malta,Malta,2020-03-15T18:20:18,21,0,1,35.9375,14.3754
US,Grand Princess,2020-03-10T02:33:04,21,0,0,37.6489,-122.6655
US,Nevada,2020-03-14T22:33:03,24,0,0,38.3135,-117.0554
Australia,South Australia,2020-03-15T18:20:19,20,0,3,-34.9285,138.6007
Oman,Oman,2020-03-15T18:20:18,22,0,9,21.4735,55.9754
US,Indiana,2020-03-15T18:20:19,20,0,0,39.8494,-86.2583
US,Rhode Island,2020-03-14T18:53:03,20,0,0,41.6809,-71.5118
US,South Carolina,2020-03-14T22:33:03,28,0,0,33.8569,-80.945
China,Qinghai,2020-03-11T02:18:14,18,0,18,35.7452,95.9956
Tunisia,Tunisia,2020-03-14T20:53:02,18,0,0,33.8869,9.5375
US,Iowa,2020-03-15T18:20:19,18,0,0,42.0115,-93.2105
US,Kentucky,2020-03-15T02:53:02,20,0,0,37.6681,-84.6701
Australia,Western Australia,2020-03-14T13:33:04,17,1,0,-31.9505,115.8605
US,Nebraska,2020-03-15T18:20:19,17,0,0,41.1254,-98.2681
Afghanistan,Afghanistan,2020-03-15T18:20:18,16,0,0,33.9391,67.71
US,Arkansas,2020-03-15T18:20:19,16,0,0,34.9697,-92.3731
US,District of Columbia,2020-03-15T02:53:03,16,0,0,38.8974,-77.0268
Azerbaijan,Azerbaijan,2020-03-13T12:13:36,23,1,6,40.1431,47.5769
North Macedonia,North Macedonia,2020-03-13T23:33:05,14,0,1,41.6086,21.7453
Maldives,Maldives,2020-03-15T18:20:18,13,0,0,3.2028,73.2207
US,New Mexico,2020-03-15T02:53:03,13,0,0,34.8405,-106.2485
Lithuania,Lithuania,2020-03-15T18:20:18,12,0,1,55.1694,23.8813
Moldova,Moldova,2020-03-14T20:53:02,23,0,0,47.4116,28.3699
US,Alabama,2020-03-15T18:20:19,12,0,0,32.3182,-86.9023
US,Arizona,2020-03-14T18:13:23,13,0,1,33.7298,-111.4312
Denmark,Faroe Islands,2020-03-15T18:20:19,11,0,0,61.8926,-6.9118
Dominican Republic,Dominican Republic,2020-03-14T20:53:02,11,0,0,18.7357,-70.1627
Sri Lanka,Sri Lanka,2020-03-15T18:20:18,18,0,1,7.8731,80.7718
Bolivia,Bolivia,2020-03-14T12:53:07,10,0,0,-16.2902,-63.5887
